ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad05.obj;-495.4792785644531;-1058.2242431640625;344.3172302246094;0.9914448857307434;0;0;-0.13052615523338318;1;Set_$DefaultGlobal;193889
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad05.obj;-505.06304931640625;-1052.27978515625;344.3172302246094;0.3420201539993286;0;0;-0.9396926164627075;1;Set_$DefaultGlobal;193889
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad06.obj;-498.1441955566406;-1056.634765625;344.3172302246094;-0.008726561442017555;0;0;-0.9999619126319885;1;Set_$DefaultGlobal;193890
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad06.obj;-501.5172424316406;-1048.779052734375;344.3172302246094;0.9862855672836304;0;0;-0.16504761576652527;0.9999999403953552;Set_$DefaultGlobal;193890
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad06.obj;-510.4469299316406;-1060.5809326171875;344.3172302246094;0.80901700258255;0;0;-0.5877852439880371;1;Set_$DefaultGlobal;193890
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-491.5949401855469;-1075.4171142578125;372.0066223144531;-0.12997497618198395;0;0;-0.9915172457695007;1.3762507438659668;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-485.9940490722656;-1069.146484375;372.23236083984375;0.7558253407478333;0;0;-0.6547732353210449;1.1522639989852905;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-485.865234375;-1071.31689453125;372.2357482910156;0.6373909115791321;0;0;-0.7705405950546265;1.3762503862380981;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-489.4208068847656;-1075.445068359375;372.0033264160156;0.03545522689819336;0;0;-0.9993712902069092;1.1522642374038696;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-486.3231506347656;-1067.042724609375;369.1644592285156;0.7086910605430603;0;0;0.705518901348114;3.079685926437378;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-485.88421630859375;-1065.8197021484375;372.0066223144531;0.6373909115791321;0;0;-0.7705405950546265;1.3762503862380981;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-486.6134033203125;-1067.1461181640625;371.98431396484375;0.8028430342674255;0;0;0.5961904525756836;1.5388872623443604;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-486.0126953125;-1063.6495361328125;372.0033264160156;0.7558253407478333;0;0;-0.6547732353210449;1.1522639989852905;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\bushes\silvermoonbush06.obj;-486.8827209472656;-1060.4034423828125;369.9201965332031;0.9963416457176208;0;0;-0.08545928448438644;2.0458526611328125;Set_$DefaultGlobal;193384
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-494.9050598144531;-1075.0677490234375;372.23236083984375;0.03545522689819336;0;0;-0.9993712902069092;1.1522642374038696;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-492.8651428222656;-1074.59423828125;371.98431396484375;0.9833559989929199;0;0;-0.18168918788433075;1.5388867855072021;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-497.0788879394531;-1075.0396728515625;372.2357482910156;-0.12997497618198395;0;0;-0.9915172457695007;1.3762507438659668;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\bushes\silvermoonbush06.obj;-498.3564453125;-1075.136474609375;370.1258850097656;0.9828408360481262;0;0;0.18445558845996857;2.0458526611328125;Set_$DefaultGlobal;193384
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-492.8076171875;-1074.92236328125;369.1644592285156;0.9999857544898987;0;0;0.005336887203156948;3.079685926437378;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-486.24468994140625;-1040.09619140625;371.9767761230469;0.5952977538108826;0;0;-0.8035052418708801;1.376250982284546;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-492.2711486816406;-1033.193603515625;372.3931884765625;0.9985590577125549;0;0;0.05366377905011177;1.1522639989852905;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-490.09765625;-1033.1422119140625;372.39654541015625;0.9937214851379395;0;0;-0.11188197135925293;1.3762508630752563;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-486.1409606933594;-1037.92431640625;371.9734802246094;0.719750165939331;0;0;-0.6942331790924072;1.1522642374038696;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-495.5919189453125;-1032.965087890625;372.16748046875;0.9937214851379395;0;0;-0.11188197135925293;1.3762508630752563;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-494.29241943359375;-1033.7410888671875;372.1451721191406;-0.163736030459404;0;0;-0.9865041971206665;1.5388872623443604;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-497.7655334472656;-1033.0162353515625;372.16412353515625;0.9985590577125549;0;0;0.05366377905011177;1.1522639989852905;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-486.7091979980469;-1043.3922119140625;372.2025451660156;0.719750165939331;0;0;-0.6942331790924072;1.1522642374038696;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-487.1114501953125;-1041.3370361328125;371.9544982910156;0.8335598111152649;0;0;0.5524292588233948;1.5388871431350708;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-486.8128356933594;-1045.5635986328125;372.2059020996094;0.5952977538108826;0;0;-0.8035052418708801;1.376250982284546;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-494.38531494140625;-1033.447509765625;369.3253173828125;-0.020067820325493813;0;0;-0.999798595905304;3.079685926437378;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\bushes\silvermoonbush06.obj;-487.38226318359375;-1047.5772705078125;370.0558166503906;0.5788344740867615;0;0;0.815445065498352;2.0458526611328125;Set_$DefaultGlobal;193384
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-486.7813720703125;-1041.291015625;369.1346130371094;0.7155979871749878;0;0;0.6985123753547668;3.079686164855957;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-522.5336303710938;-1068.742431640625;372.1822814941406;0.7854365706443787;0;0;0.6189422011375427;1.3762507438659668;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-519.1700439453125;-1075.320556640625;372.4080505371094;0.07477357238531113;0;0;-0.9972005486488342;1.1522639989852905;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-521.3392944335938;-1075.4639892578125;372.4114074707031;-0.09083700180053711;0;0;-0.9958657622337341;1.3762506246566772;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-522.5079345703125;-1070.91650390625;372.1789855957031;0.6725097894668579;0;0;0.740088164806366;1.15226411819458;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-515.8425903320312;-1075.408447265625;372.1822814941406;-0.09083700180053711;0;0;-0.9958657622337341;1.3762506246566772;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-517.1737060546875;-1074.68798828125;372.1600036621094;0.9897468686103821;0;0;-0.1428324580192566;1.5388872623443604;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-513.673095703125;-1075.265380859375;372.1789855957031;0.07477357238531113;0;0;-0.9972005486488342;1.1522639989852905;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-522.2659301757812;-1065.4244384765625;372.4080505371094;0.6725097894668579;0;0;0.740088164806366;1.15226411819458;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-521.7421875;-1067.4520263671875;372.1600036621094;0.5769869089126587;0;0;-0.8167534470558167;1.5388869047164917;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-522.2918090820312;-1063.2506103515625;372.4114074707031;0.7854365706443787;0;0;0.6189422011375427;1.3762507438659668;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-517.0684814453125;-1074.9774169921875;369.3401184082031;0.9999994039535522;0;0;0.0010851046536117792;3.0796854496002197;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\bushes\silvermoonbush06.obj;-504.9349060058594;-1074.9754638671875;370.5525817871094;0.6466331481933594;0;0;-0.7628011107444763;2.0458531379699707;Set_$DefaultGlobal;193384
..\..\..\expansion01\doodads\silvermoon\bushes\silvermoonbush06.obj;-521.3328857421875;-1059.109619140625;370.5525817871094;0.8212977647781372;0;0;-0.5704997777938843;2.0458526611328125;Set_$DefaultGlobal;193384
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-521.8056640625;-1067.509765625;369.3401184082031;0.7057639956474304;0;0;-0.7084469795227051;3.079685926437378;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-514.7243041992188;-1033.6419677734375;373.2819519042969;0.9905380606651306;0;0;-0.13723832368850708;1.3762507438659668;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-521.4202270507812;-1035.48828125;373.97515869140625;0.6550920605659485;0;0;0.7555490732192993;1.15226411819458;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-521.5471801757812;-1034.5360107421875;373.97857666015625;0.7708094120025635;0;0;0.6370658278465271;1.3762506246566772;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-516.897705078125;-1033.582275390625;373.2785949707031;0.9996042847633362;0;0;0.028129765763878822;1.1522642374038696;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-521.0928955078125;-1035.9609375;370.90728759765625;0.7052199244499207;0;0;-0.7089886665344238;3.079686164855957;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-521.5328979492188;-1038.81494140625;373.7494201660156;0.7708094120025635;0;0;0.6370658278465271;1.3762506246566772;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-520.8026123046875;-1037.4893798828125;373.7271728515625;0.5958517789840698;0;0;-0.8030944466590881;1.5388875007629395;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-521.4061279296875;-1040.9854736328125;373.74615478515625;0.6550920605659485;0;0;0.7555490732192993;1.15226411819458;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-511.4195861816406;-1034.0401611328125;373.5076599121094;0.9996042847633362;0;0;0.028129765763878822;1.1522642374038696;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-513.4662475585938;-1034.4835205078125;373.25970458984375;-0.18889132142066956;0;0;-0.9819979667663574;1.5388869047164917;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-509.2464294433594;-1034.099609375;373.5110168457031;0.9905380606651306;0;0;-0.13723832368850708;1.3762507438659668;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\bushes\silvermoonbush06.obj;-507.2216796875;-1034.628662109375;372.53173828125;0.17724750936031342;0;0;-0.9841663241386414;1.4157660007476807;Set_$DefaultGlobal;193384
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-513.5188598632812;-1034.154541015625;370.4398498535156;-0.0019922680221498013;0;0;-0.9999980330467224;3.079686403274536;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\generic\bloodelf\planters\be_planter_long_03.obj;-518.7271118164062;-1031.898193359375;349.8968811035156;0.9999619126319885;0;0;-0.008726486004889011;2.122299909591675;Set_$DefaultGlobal;192123
..\..\..\expansion01\doodads\generic\bloodelf\planters\be_planter_long_03.obj;-489.32562255859375;-1031.898193359375;349.8968811035156;0.9999619126319885;0;0;-0.008726486004889011;2.122299909591675;Set_$DefaultGlobal;192123
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-486.24468994140625;-1052.9390869140625;371.9767761230469;0.5952977538108826;0;0;-0.8035052418708801;1.376250982284546;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-487.1114501953125;-1054.179443359375;371.9544982910156;0.8335598111152649;0;0;0.5524292588233948;1.5388871431350708;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-486.7091979980469;-1056.23486328125;372.2025451660156;0.719750165939331;0;0;-0.6942331790924072;1.1522642374038696;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-486.8128356933594;-1058.406494140625;372.2059020996094;0.5952977538108826;0;0;-0.8035052418708801;1.376250982284546;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-486.1409606933594;-1050.7672119140625;371.9734802246094;0.719750165939331;0;0;-0.6942331790924072;1.1522642374038696;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-486.7813720703125;-1054.1334228515625;369.1346130371094;0.7155979871749878;0;0;0.6985123753547668;3.079686164855957;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-503.95562744140625;-1033.447509765625;369.9094543457031;-0.020067820325493813;0;0;-0.999798595905304;3.079685926437378;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\bushes\silvermoonbush06.obj;-493.30999755859375;-1034.628662109375;372.53173828125;0.17724750936031342;0;0;-0.9841663241386414;1.4157660007476807;Set_$DefaultGlobal;193384
..\..\..\expansion01\doodads\silvermoon\bushes\silvermoonbush06.obj;-520.6878051757812;-1040.8231201171875;372.53173828125;0.17724750936031342;0;0;-0.9841663241386414;1.4157660007476807;Set_$DefaultGlobal;193384
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-521.8056640625;-1063.879150390625;369.3401184082031;0.7057639956474304;0;0;-0.7084469795227051;3.079685926437378;Set_$DefaultGlobal;192071
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-506.38629150390625;-1075.265380859375;372.1789855957031;0.07477357238531113;0;0;-0.9972005486488342;1.1522639989852905;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-508.5558776855469;-1075.408447265625;372.1822814941406;-0.09083700180053711;0;0;-0.9958657622337341;1.3762506246566772;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-509.8868408203125;-1074.68798828125;372.1600036621094;0.9897468686103821;0;0;-0.1428324580192566;1.5388872623443604;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower05.obj;-511.8831481933594;-1075.320556640625;372.4080505371094;0.07477357238531113;0;0;-0.9972005486488342;1.1522639989852905;Set_$DefaultGlobal;193396
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-514.0526123046875;-1075.4639892578125;372.4114074707031;-0.09083700180053711;0;0;-0.9958657622337341;1.3762506246566772;Set_$DefaultGlobal;193394
..\..\..\expansion01\doodads\generic\bloodelf\hedge\silvermoonhedge01.obj;-509.78179931640625;-1074.9774169921875;369.3401184082031;0.9999994039535522;0;0;0.0010851046536117792;3.0796854496002197;Set_$DefaultGlobal;192071
..\..\..\dungeon\scarletmonastery\passivedoodads\fountains\fishfountain.obj;-513.946044921875;-1066.8348388671875;344.64654541015625;0.887822687625885;0;0;0.4601856768131256;1;Set_$DefaultGlobal;190898
..\..\..\dungeon\scarletmonastery\passivedoodads\fountains\fishfountain.obj;-492.345703125;-1045.3895263671875;344.64654541015625;0.38804659247398376;0;0;-0.9216397404670715;1;Set_$DefaultGlobal;190898
..\..\..\dungeon\scarletmonastery\passivedoodads\fountains\fishfountain.obj;-513.4441528320312;-1045.42529296875;344.64654541015625;0.9275342226028442;0;0;-0.373738169670105;0.9999998807907104;Set_$DefaultGlobal;190898
..\..\..\dungeon\scarletmonastery\passivedoodads\fountains\fishfountain.obj;-492.49310302734375;-1066.4859619140625;344.64654541015625;-0.38227608799934387;0;0;-0.9240481853485107;1;Set_$DefaultGlobal;190898
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad03.obj;-493.1404113769531;-1052.867431640625;344.3172302246094;-0.06975651532411575;0;0;-0.9975640177726746;1;Set_$DefaultGlobal;193887
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad03.obj;-507.2005310058594;-1065.009765625;344.3172302246094;-0.06975651532411575;0;0;-0.9975640177726746;1;Set_$DefaultGlobal;193887
..\..\..\expansion01\doodads\zangar\lilypads\zangarlilypad05.obj;-501.7556457519531;-1066.0145263671875;344.3172302246094;0.3420201539993286;0;0;-0.9396926164627075;1;Set_$DefaultGlobal;193889
..\..\..\expansion01\doodads\generic\bloodelf\trees\silvermoontree09.obj;-501.2375183105469;-1056.066650390625;343.6568603515625;0.9762958884239197;0;0;-0.2164401262998581;0.519207239151001;Set_$DefaultGlobal;192293
..\..\..\lordaeron\silvermoon\passivedoodads\trees\sm_leaves_fall.obj;-497.4010009765625;-1049.48681640625;345.6256103515625;0.784332275390625;0;0;-0.6203409433364868;1.2960883378982544;Set_$DefaultGlobal;203963
..\..\..\lordaeron\silvermoon\passivedoodads\trees\sm_leaves_fall.obj;-506.3575744628906;-1051.0250244140625;348.7043151855469;0.784332275390625;0;0;-0.6203409433364868;1.2960883378982544;Set_$DefaultGlobal;203963
..\..\..\expansion01\doodads\generic\bloodelf\benches\be_bench01.obj;-490.0242004394531;-1077.48291015625;344.1936950683594;0.6804959177970886;0;0;0.7327518463134766;1;Set_$DefaultGlobal;191936
..\..\..\expansion01\doodads\generic\bloodelf\benches\be_bench01.obj;-483.3319396972656;-1071.115234375;344.18572998046875;-0.0236502718180418;0;0;-0.9997202754020691;1;Set_$DefaultGlobal;191936
..\..\..\expansion01\doodads\generic\bloodelf\chairs\be_chair01.obj;-524.3402709960938;-1073.7242431640625;344.18255615234375;0.9821253418922424;0;0;0.18822823464870453;1;Set_$DefaultGlobal;191981
..\..\..\expansion01\doodads\generic\bloodelf\hookah\be_hookah_02.obj;-522.1094970703125;-1075.2332763671875;344.16632080078125;0.8444368839263916;0;0;-0.5356550812721252;1;Set_$DefaultGlobal;192074
..\..\..\expansion01\doodads\generic\bloodelf\chairs\be_chair01.obj;-519.4808959960938;-1077.6317138671875;344.1936340332031;0.7132761478424072;0;0;0.7008830904960632;1;Set_$DefaultGlobal;191981
..\..\..\generic\bloodelf\passivedoodads\be_lantern_blue_001.obj;-510.9854736328125;-1083.2259521484375;342.6261901855469;0.43837103247642517;0;0;-0.8987941145896912;1.8901000022888184;Set_$DefaultGlobal;197083
..\..\..\generic\bloodelf\passivedoodads\be_lantern_blue_001.obj;-492.0021667480469;-1083.2259521484375;342.6261901855469;0.43837103247642517;0;0;-0.8987941145896912;1.8901000022888184;Set_$DefaultGlobal;197083
..\..\..\generic\passivedoodads\particleemitters\druidwisp01.obj;-503.1019592285156;-1055.503173828125;344.7300720214844;1;0;0;0;2.7263600826263428;Set_$DefaultGlobal;199938
..\..\..\expansion01\doodads\silvermoon\flowers\silvermoonflower03.obj;-527.4047241210938;-1073.9449462890625;346.39892578125;0.7854365706443787;0;0;0.6189422011375427;1.3762507438659668;Set_$DefaultGlobal;193394
